pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Lombard Anchor Bay Scotch Whisky,Lombard,80.0,Scotch,Scotland,Other,999f58bb-d56f-4f44-9d27-c184ab6b4eb5,22916130077
Burberrys Blended Scotch Whisky,Burberrys,80.0,Scotch,Scotland,Other,999f58bb-d56f-4f44-9d27-c184ab6b4eb5,22916810078
Burberrys Speyside Single Malt Scotch,Burberrys,86.0,Scotch,Scotland,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,22916810085
Burberrys Blended 12 Year Scotch Whisky,Burberrys,90.0,Scotch,Scotland,Other,999f58bb-d56f-4f44-9d27-c184ab6b4eb5,22916810092
Ron Colon Salvadoreno 50/50 RumRye ,Ron Colon Salvadoreno,100.0,World,Other,Other,1b6ba890-0739-4c7d-a3d4-64aa31726055,24137162042
Ron Colon Salvadoreno 33/66 RumZcal,Ron Colon Salvadoreno,99.0,World,Other,Other,1b6ba890-0739-4c7d-a3d4-64aa31726055,24137162097
Stork Club Full Proof Rye Whiskey,Stork Club,110.0,World,Germany,Other,d20cf63e-5736-4572-9c23-6f899b216a57,24137167016
St. George Single Malt Whiskey,St. George,86.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,27724337502
St. George Baller Single Malt Whiskey,St. George,94.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,27724387507
St. George Single Malt Whiskey 35th Anniversary,St. George,82.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,27724397506
St. George Breaking and Entering Bourbon Whiskey,St. George,86.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,27724907507
St. George Breaking & Entering American Whiskey,St. George,86.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,27724947503
Wollersheim Distillery Round Top Rye Whiskey ,Wollersheim Distillery,90.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,27952920309
Yellow Rose Outlaw Bourbon Whiskey,Yellow Rose,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,30955645063
Yellow Rose Straight Rye Whiskey,Yellow Rose,90.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,30955645070
Yellow Rose Blended Whiskey,Yellow Rose,80.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,30955645100
Yellow Rose Double Barrel Bourbon Whiskey,Yellow Rose,86.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,30955645124
Redemption Rye Whiskey,Redemption,92.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259000695
Redemption High Rye Bourbon,Redemption,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259000701
Redemption Bourbon Whiskey,Redemption,84.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,31259000718
Redemption Barrel Proof Straight Rye Whiskey 8 Year,Redemption,122.2,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,31259000725|702380778578
